TimeStep	Transitions	State	FearLevel	HungerLevel	PosX	PosZ
0	0	Explore	10	0	-0.2615	-0.0014
1	0	Explore	10	0	-0.2589	-0.0002
2	0	Explore	10	0	-0.2563	-0.0000
3	0	Explore	10	0	-0.2537	-0.0000
4	0	Explore	10	0	-0.2510	0.0000
5	0	Explore	10	0	-0.2484	0.0000
6	0	Explore	10	0	-0.2458	0.0000
7	0	Explore	10	0	-0.2432	0.0000
8	0	Explore	10	0	-0.2405	0.0000
9	0	Explore	10	0	-0.2379	0.0000
10	0	Explore	10	0	-0.2353	0.0000
11	0	Explore	10	0	-0.2327	0.0000
12	0	Explore	10	0	-0.2300	0.0000
13	0	Explore	10	0	-0.2274	0.0000
14	0	Explore	10	0	-0.2248	0.0000
15	0	Explore	10	0	-0.2222	0.0000
16	0	Explore	10	0	-0.2195	0.0000
17	0	Explore	10	0	-0.2169	0.0000
18	0	Explore	10	0	-0.2143	0.0000
19	0	Explore	10	0	-0.2117	0.0000
20	0	Explore	10	0	-0.2090	0.0000
21	0	Explore	10	0	-0.2064	0.0000
22	0	Explore	10	0	-0.2038	0.0000
23	0	Explore	10	0	-0.2012	0.0000
24	0	Explore	10	0	-0.1985	0.0000
25	0	Explore	10	0	-0.1959	0.0000
26	0	Explore	10	0	-0.1933	0.0000
27	0	Explore	10	0	-0.1907	0.0000
28	0	Explore	10	0	-0.1880	0.0000
29	0	Explore	10	0	-0.1854	0.0000
30	0	Explore	10	0	-0.1828	0.0000
31	0	Explore	10	0	-0.1802	0.0000
32	0	Explore	10	0	-0.1775	0.0000
33	0	Explore	10	0	-0.1749	0.0000
34	0	Explore	10	0	-0.1723	0.0000
35	0	Explore	10	0	-0.1697	0.0000
36	0	Explore	10	0	-0.1670	0.0000
37	0	Explore	10	0	-0.1644	0.0000
38	0	Explore	10	0	-0.1618	0.0000
39	0	Explore	10	0	-0.1592	0.0000
40	0	Explore	10	0	-0.1565	0.0000
41	0	Explore	10	0	-0.1565	0.0000
42	0	Explore	10	0	-0.1565	0.0000
43	0	Explore	10	0	-0.1566	0.0000
44	0	Explore	10	0	-0.1566	0.0000
45	0	Explore	10	0	-0.1567	0.0000
46	0	Explore	10	0	-0.1567	0.0000
47	0	Explore	10	0	-0.1567	0.0000
48	0	Explore	10	0	-0.1568	0.0000
49	0	Hide	10	0	-0.1568	0.0000
50	1	Hide	9	1	-0.1568	0.0000
51	1	Hide	9	1	-0.1568	0.0000
52	1	Hide	9	1	-0.1569	0.0000
53	1	Hide	9	1	-0.1569	0.0000
54	1	Hide	9	1	-0.1569	0.0000
55	1	Hide	9	1	-0.1569	0.0000
56	1	Hide	9	1	-0.1569	0.0000
57	1	Hide	9	1	-0.1570	0.0000
58	1	Hide	9	1	-0.1570	0.0000
59	1	Hide	9	1	-0.1570	0.0000
60	1	Hide	9	1	-0.1570	0.0000
61	1	Hide	9	1	-0.1570	0.0000
62	1	Hide	9	1	-0.1571	0.0000
63	1	Hide	9	1	-0.1571	0.0000
64	1	Hide	9	1	-0.1571	0.0000
65	1	Hide	9	1	-0.1571	0.0000
66	1	Hide	9	1	-0.1572	0.0000
67	1	Hide	9	1	-0.1572	0.0000
68	1	Hide	9	1	-0.1565	0.0000
69	1	Hide	9	1	-0.1559	0.0000
70	1	Hide	9	1	-0.1552	0.0000
71	1	Hide	9	1	-0.1545	0.0000
72	1	Hide	9	1	-0.1539	0.0000
73	1	Hide	9	1	-0.1532	0.0000
74	1	Hide	9	1	-0.1525	0.0000
75	1	Hide	9	1	-0.1519	0.0000
76	1	Hide	9	1	-0.1512	0.0000
77	1	Hide	9	1	-0.1505	0.0000
78	1	Hide	9	1	-0.1499	0.0000
79	1	Hide	9	1	-0.1492	0.0000
80	1	Hide	9	1	-0.1485	0.0000
81	1	Hide	9	1	-0.1479	0.0000
82	1	Hide	9	1	-0.1472	0.0000
83	1	Hide	9	1	-0.1465	0.0000
84	1	Hide	9	1	-0.1459	0.0000
85	1	Hide	9	1	-0.1452	0.0000
86	1	Hide	9	1	-0.1445	0.0000
87	1	Hide	9	1	-0.1439	0.0000
88	1	Hide	9	1	-0.1432	0.0000
89	1	Hide	9	1	-0.1425	0.0000
90	1	Hide	9	1	-0.1419	0.0000
91	1	Hide	9	1	-0.1412	0.0000
92	1	Hide	9	1	-0.1405	0.0000
93	1	Hide	9	1	-0.1399	0.0000
94	1	Hide	9	1	-0.1392	0.0000
95	1	Hide	9	1	-0.1386	0.0000
96	1	Hide	9	1	-0.1379	0.0000
97	1	Hide	9	1	-0.1372	0.0000
98	1	Hide	9	1	-0.1366	0.0000
99	1	Hide	9	1	-0.1359	0.0000
100	1	Hide	9	1	-0.1352	0.0000
101	1	Hide	9	1	-0.1346	0.0000
102	1	Hide	9	1	-0.1339	0.0000
103	1	Hide	9	1	-0.1332	0.0000
104	1	Hide	9	1	-0.1326	0.0000
105	1	Hide	9	1	-0.1319	0.0000
106	1	Hide	9	1	-0.1312	0.0000
107	1	Hide	9	1	-0.1306	0.0000
108	1	Hide	9	1	-0.1299	0.0000
109	1	Hide	9	1	-0.1292	0.0000
110	1	Hide	9	1	-0.1286	0.0000
111	1	Hide	9	1	-0.1279	0.0000
112	1	Hide	9	1	-0.1272	0.0000
113	1	Hide	9	1	-0.1266	0.0000
114	1	Hide	9	1	-0.1259	0.0000
115	1	Hide	9	1	-0.1252	0.0000
116	1	Hide	9	1	-0.1246	0.0000
117	1	Hide	9	1	-0.1239	0.0000
118	1	Hide	9	1	-0.1232	0.0000
119	1	Hide	9	1	-0.1226	0.0000
120	1	Hide	9	1	-0.1219	0.0000
121	1	Hide	9	1	-0.1212	0.0000
122	1	Hide	9	1	-0.1206	0.0000
123	1	Hide	9	1	-0.1199	0.0000
124	1	Hide	9	1	-0.1192	0.0000
125	1	Hide	9	1	-0.1186	0.0000
126	1	Hide	9	1	-0.1179	0.0000
127	1	Hide	9	1	-0.1172	0.0000
128	1	Hide	9	1	-0.1166	0.0000
129	1	Hide	9	1	-0.1159	0.0000
130	1	Hide	9	1	-0.1152	0.0000
131	1	Hide	9	1	-0.1146	0.0000
132	1	Hide	9	1	-0.1139	0.0000
