TimeStep	Transitions	State	FearLevel	HungerLevel	PosX	posZ
2179	10	Hide	10	1	-0.1139	0.4561
2180	11	Hide	9	2	-0.1139	0.4562
2181	11	Hide	9	2	-0.1165	0.4563
2182	11	Hide	9	2	-0.1192	0.4564
2183	11	Hide	9	2	-0.1192	0.4564
2184	11	Hide	9	2	-0.1218	0.4566
2185	11	Hide	9	2	-0.1244	0.4569
2186	11	Hide	9	2	-0.1270	0.4571
2187	11	Hide	9	2	-0.1296	0.4573
2188	11	Hide	9	2	-0.1323	0.4575
2189	11	Hide	9	2	-0.1349	0.4578
2190	11	Hide	9	2	-0.1375	0.4580
2191	11	Hide	9	2	-0.1401	0.4582
2192	11	Hide	9	2	-0.1427	0.4584
2193	11	Hide	9	2	-0.1453	0.4587
2194	11	Hide	9	2	-0.1479	0.4589
2195	11	Hide	9	2	-0.1506	0.4591
2196	11	Hide	9	2	-0.1532	0.4593
2197	11	Hide	9	2	-0.1558	0.4595
2198	11	Hide	9	2	-0.1584	0.4598
2199	11	Hide	9	2	-0.1610	0.4600
2200	11	Hide	9	2	-0.1636	0.4602
2201	11	Hide	9	2	-0.1663	0.4604
2202	11	Hide	9	2	-0.1689	0.4607
2203	11	Hide	9	2	-0.1715	0.4609
2204	11	Hide	9	2	-0.1741	0.4611
2205	11	Hide	9	2	-0.1767	0.4613
2206	11	Hide	9	2	-0.1793	0.4616
2207	11	Hide	9	2	-0.1819	0.4618
2208	11	Hide	9	2	-0.1846	0.4620
2209	11	Hide	9	2	-0.1872	0.4622
2210	11	Hide	9	2	-0.1898	0.4625
2211	11	Hide	9	2	-0.1924	0.4627
2212	11	Hide	9	2	-0.1950	0.4629
2213	11	Hide	9	2	-0.1976	0.4631
2214	11	Hide	9	2	-0.2003	0.4633
2215	11	Hide	9	2	-0.2029	0.4636
2216	11	Hide	9	2	-0.2055	0.4638
2217	11	Hide	9	2	-0.2081	0.4640
2218	11	Hide	9	2	-0.2107	0.4642
2219	11	Hide	9	2	-0.2133	0.4645
2220	11	Hide	9	2	-0.2159	0.4647
2221	11	Hide	9	2	-0.2186	0.4649
2222	11	Hide	9	2	-0.2212	0.4651
2223	11	Hide	9	2	-0.2238	0.4654
2224	11	Hide	9	2	-0.2264	0.4656
2225	11	Hide	9	2	-0.2290	0.4658
2226	11	Hide	9	2	-0.2316	0.4660
2227	11	Hide	9	2	-0.2342	0.4663
2228	11	Hide	9	2	-0.2369	0.4665
2229	11	Hide	9	2	-0.2395	0.4667
2230	11	Hide	9	2	-0.2421	0.4668
2231	11	Hide	9	2	-0.2447	0.4668
2232	11	Hide	9	2	-0.2473	0.4668
2233	11	Hide	9	2	-0.2499	0.4668
2234	11	Hide	9	2	-0.2526	0.4668
2235	11	Hide	9	2	-0.2552	0.4668
2236	11	Hide	9	2	-0.2578	0.4668
2237	11	Hide	9	2	-0.2604	0.4669
2238	11	Hide	9	2	-0.2630	0.4669
2239	11	Hide	9	2	-0.2656	0.4669
2240	11	Hide	9	2	-0.2682	0.4669
2241	11	Hide	9	2	-0.2709	0.4669
2242	11	Hide	9	2	-0.2735	0.4669
